date,Content,Likes,Retweet
2022-12-11 09:38:08+00:00,Addressed a “Faith Conclave” in Thiruvananthapuram under the auspices of the ecumenical Christian group ACTS. It was attended by representatives of every Christian sect in Kerala&amp; several figures of other religious traditions. Stressed the need for harmonious communal coexistence https://t.co/rbTqXvDKL7,145,27
2022-12-11 09:37:32+00:00,A thought for Sunday from Dennis the Menace! https://t.co/CtmxbSjQ43,3245,308
2022-12-10 15:20:03+00:00,"While understanding the humanitarian concerns behind the resolution, I agree fully with India’s reservations that prompted its abstention. We don’t have to look far across the border for evidence to substantiate @ruchirakamboj’s words. Well done, @IndiaUNNewYork @DrSJaishankar",725,97
2022-12-10 09:43:44+00:00,Chaired the annual Advisory Board meeting of @iimunofficial in Mumbai this morning in illustrious company! Then had a short interactive session with school principals before heading to the airport to fly to Thiruvananthapuram https://t.co/h4yvgbOcIo,450,36
2022-12-10 09:29:26+00:00,@Palarivattomsh1 Not watching — checking the score occasionally on @__EspnCricinfo.com! About to board a flight to my constituency,1029,34
2022-12-10 09:18:06+00:00,"Better say it before even more wickets tumble — when India were 305/2 after 35 overs, I found myself saying “what if @surya_14kumar &amp; @hardikpandya7 were coming in next — would we cross 500?” Ah, well….
#INDvsBAN",16927,740
2022-12-10 04:10:39+00:00,Calling on Railway Minister @AshwiniVaishnaw to respond constructively to my repeated reminders on the Government’s unfulfilled promises to expand the Nemom terminal in Thiruvananthapuram! https://t.co/PTmYCNJ645,480,67
2022-12-10 03:39:04+00:00,I share my friend &amp; LokSabha colleague RiteishPandey’s concerns in full. Glad he has raised this matter in Parliament. https://t.co/W8Gj0ppdqD,395,64
2022-12-09 13:04:08+00:00,@anupr3 What are these amazing people doing dressed like this anyway? Is there a context? An explanation?,966,26
2022-12-09 11:13:20+00:00,It’s good to see the widespread relief &amp; congratulations to @incIndia for the Himachal victory. It shows that anti-incumbency is real &amp;can be built upon in 2024. That local leaders campaigning among their own people can swing elections. And that Congress IS the valid alternative.,6272,597
